Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-02-03,86.110001,86.5,84.07,84.290001,77.285034,65596900,0
2014-02-04,84.720001,85.25,84.459999,84.910004,77.8535,37675500,1
2014-02-05,84.629997,84.989998,83.739998,84.690002,77.651817,41721800,2
2014-02-06,84.940002,85.879997,84.919998,85.769997,78.642052,32308600,3
2014-02-07,86.25,87.360001,86,87.300003,80.044914,38359400,4
2014-02-10,87.269997,87.839996,87.209999,87.800003,80.503357,30205400,5
2014-02-11,87.989998,88.970001,87.889999,88.800003,81.420235,38635500,6
2014-02-12,88.980003,89.169998,88.699997,88.970001,81.576118,32507200,7
2014-02-13,88.32,89.699997,88.300003,89.629997,82.181274,40454500,8
2014-02-14,89.599998,90.010002,89.330002,89.809998,82.346306,33212400,9
2014-02-18,89.959999,90.419998,89.739998,90.25,82.749748,29546600,10
2014-02-19,90.080002,90.290001,89.449997,89.629997,82.181274,41749900,11
2014-02-20,89.690002,90.220001,89.309998,90.050003,82.566338,41814800,12
2014-02-21,90.339996,90.470001,89.82,89.93,82.456322,31192200,13
2014-02-24,90.139999,90.82,90.040001,90.410004,82.896439,31500400,14
2014-02-25,90.540001,90.720001,90.019997,90.309998,82.804749,26771700,15
2014-02-26,90.550003,90.839996,89.870003,90.230003,82.731415,42953700,16
2014-02-27,89.870003,90.529999,89.730003,90.440002,83.268166,28742400,17
2014-02-28,90.419998,90.959999,89.540001,90.339996,83.176102,48609800,18
2014-03-03,89.489998,89.910004,88.870003,89.669998,82.559227,38885700,19
2014-03-04,90.650002,90.980003,90.559998,90.809998,83.608826,33189000,20
2014-03-05,90.959999,91.220001,90.769997,91.059998,83.839012,27203300,21
2014-03-06,91.269997,91.339996,90.650002,90.980003,83.765366,24063900,22
2014-03-07,91.269997,91.360001,90.07,90.529999,83.351036,31167800,23
2014-03-10,90.480003,90.660004,90.029999,90.610001,83.424683,18131700,24
2014-03-11,90.830002,91.059998,89.949997,90.220001,83.065598,27484300,25
2014-03-12,89.809998,90.610001,89.480003,90.559998,83.378624,27977200,26
2014-03-13,90.900002,90.93,88.870003,89.279999,82.20015,48542000,27
2014-03-14,88.989998,89.379997,88.629997,88.669998,81.638535,38732300,28
2014-03-17,89.239998,89.910004,89.190002,89.449997,82.356659,28467200,29
2014-03-18,89.559998,90.639999,89.529999,90.529999,83.351036,31250200,30
2014-03-19,90.559998,90.660004,89.449997,90.040001,82.899887,40869400,31
2014-03-20,89.760002,90.559998,89.580002,90.290001,83.130066,31634500,32
2014-03-21,90.599998,90.650002,88.830002,89,82.129745,62754000,33
2014-03-24,89.32,89.389999,87.410004,88.220001,81.409943,77735300,34
2014-03-25,88.68,89.25,87.769997,88.510002,81.677551,41723300,35
2014-03-26,88.949997,89.150002,87.360001,87.370003,80.625565,40930400,36
2014-03-27,87.25,87.639999,86.400002,86.879997,80.173393,64784500,37
2014-03-28,87.160004,88.010002,86.809998,87.050003,80.330276,39895100,38
2014-03-31,87.730003,88.260002,87.620003,87.669998,80.902397,33924300,39
2014-04-01,88.099998,89.269997,87.709999,89.209999,82.323524,38683800,40
2014-04-02,89.589996,89.68,89.040001,89.440002,82.535774,34631600,41
2014-04-03,89.529999,89.68,88.220001,88.730003,81.8806,30319100,42
2014-04-04,89.32,89.410004,86.139999,86.370003,79.702759,131213200,43
2014-04-07,85.830002,86.629997,84.949997,85.550003,78.946075,83995800,44
2014-04-08,85.650002,86.459999,85.349998,86.339996,79.675072,51495700,45
2014-04-09,86.660004,87.870003,86.43,87.82,81.040825,45685200,46
2014-04-10,87.879997,87.879997,84.860001,85.099998,78.530785,73659600,47
2014-04-11,84.339996,85.440002,83.910004,84.110001,77.617203,93657400,48
2014-04-14,84.849998,85.220001,83.989998,84.769997,78.22628,46500700,49
2014-04-15,85.080002,85.540001,83.279999,85.050003,78.484665,84631500,50
2014-04-16,85.790001,86.18,85.089996,86.18,79.52742,46970900,51
2014-04-17,85.849998,86.629997,85.629997,86.199997,79.545906,53719500,52
2014-04-21,86.400002,86.839996,86,86.839996,80.136475,25947900,53
2014-04-22,87.139999,87.75,86.989998,87.529999,80.773209,38593400,54
2014-04-23,87.529999,87.559998,86.709999,86.760002,80.06266,34376700,55
2014-04-24,88.190002,88.209999,86.650002,87.589996,80.828568,48926300,56
2014-04-25,87.07,87.169998,85.980003,86.190002,79.536644,44334000,57
2014-04-28,86.599998,87.110001,85.110001,86.470001,79.795052,58623800,58
2014-04-29,86.730003,87.32,86.309998,87.160004,80.431793,36742700,59
2014-04-30,86.760002,87.480003,86.540001,87.389999,80.644012,38689400,60
2014-05-01,87.529999,88.150002,87.309998,87.650002,80.883949,37127200,61
2014-05-02,87.949997,88.110001,87.279999,87.489998,80.736313,40074200,62
2014-05-05,86.970001,87.970001,86.760002,87.949997,81.160789,27924400,63
